comments: The data is from https://doi.org/10.1021/acs.nanolett.6b03221,,,,,,
DataType: DRIFTS__IR__Vibrational_Spectrum,,,,,,
Chart_label: IR Spectra of CO Adsorption at Room Temperature after Catalyst Oxidation at Different Temperatures,,,,,,
x_label: Wavenumbers (cm^-1),,,,,,
y_label: Absorbance (<a.u.>),,,,,,
"seriesnames: 295 K,423 K,473 K,523 K,573 K,673 K",,,,,,
x_values,y_1,y_2,y_3,y_4,y_5,y_6
1951.641,-0.0066,-0.0037,-1.46E-04,6.20E-04,-0.00268,0.03006
1953.569,-0.00716,-0.00371,-1.60E-04,5.71E-04,-0.00273,0.03001
1955.498,-0.00684,-0.00368,-1.22E-04,6.57E-04,-0.0027,0.03008
1957.426,-0.00652,-0.00366,-1.38E-04,6.84E-04,-0.0027,0.03006
1959.354,-0.00698,-0.00371,-2.29E-04,6.00E-04,-0.00272,0.02999
1961.283,-0.00705,-0.00373,-1.76E-04,6.05E-04,-0.00269,0.03001
1963.212,-0.00697,-0.00369,-1.05E-04,6.70E-04,-0.00262,0.03003
1965.14,-0.00727,-0.00372,-1.13E-04,6.74E-04,-0.00265,0.03006
1967.068,-0.00779,-0.00378,-1.89E-04,5.98E-04,-0.00275,0.03002
1968.997,-0.00785,-0.00377,-2.07E-04,6.18E-04,-0.00273,0.03004
1970.926,-0.00741,-0.0037,-1.20E-04,6.84E-04,-0.0027,0.03006
1972.854,-0.00761,-0.00368,-5.49E-05,6.88E-04,-0.00275,0.03006
1974.782,-0.00726,-0.00367,-1.09E-04,6.65E-04,-0.00276,0.03008
1976.711,-0.00717,-0.0037,-1.63E-04,6.01E-04,-0.00275,0.03005
1978.64,-0.0071,-0.00371,-1.26E-04,6.15E-04,-0.00273,0.03004
1980.568,-0.00686,-0.00369,-1.21E-04,6.75E-04,-0.00272,0.03003
1982.496,-0.00672,-0.00361,-1.46E-04,7.32E-04,-0.00266,0.03002
1984.425,-0.0067,-0.00354,-1.04E-04,7.54E-04,-0.00263,0.03
1986.354,-0.00719,-0.00354,-7.22E-05,7.28E-04,-0.00266,0.02997
1988.282,-0.00736,-0.00355,-1.07E-05,7.62E-04,-0.00257,0.0301
1990.21,-0.00717,-0.00353,1.26E-05,8.23E-04,-0.00251,0.03013
1992.139,-0.00692,-0.00354,3.40E-05,8.78E-04,-0.00246,0.03018
1994.068,-0.00656,-0.00355,3.32E-05,8.69E-04,-0.00253,0.03017
1995.996,-0.00702,-0.00355,1.26E-05,8.10E-04,-0.00263,0.03014
1997.924,-0.00761,-0.00355,-5.62E-05,7.46E-04,-0.00266,0.03007
1999.853,-0.00722,-0.00356,-4.62E-06,7.92E-04,-0.00257,0.03009
2001.781,-0.00657,-0.00354,3.43E-05,8.23E-04,-0.00255,0.03007
2003.71,-0.00697,-0.00357,-1.95E-05,7.39E-04,-0.00266,0.03002
2005.638,-0.00752,-0.00359,-8.78E-05,6.92E-04,-0.00272,0.03001
2007.567,-0.00786,-0.00359,-5.47E-05,7.43E-04,-0.00266,0.03008
2009.495,-0.00753,-0.00357,-2.37E-05,8.21E-04,-0.00257,0.03013
2011.424,-0.00705,-0.00358,1.70E-05,8.99E-04,-0.00253,0.03016
2013.352,-0.00692,-0.00359,3.47E-05,9.13E-04,-0.00256,0.03016
2015.281,-0.00686,-0.00358,3.32E-05,9.21E-04,-0.00253,0.03027
2017.209,-0.00669,-0.00354,4.62E-05,9.26E-04,-0.00249,0.03029
2019.138,-0.00678,-0.00356,6.07E-05,9.31E-04,-0.00249,0.03024
2021.066,-0.00723,-0.00362,-1.48E-05,8.57E-04,-0.00262,0.03007
2022.995,-0.00702,-0.00364,1.61E-05,8.48E-04,-0.00265,0.03007
2024.923,-0.0064,-0.00359,4.30E-05,8.67E-04,-0.00259,0.03017
2026.852,-0.00621,-0.0035,3.96E-05,9.10E-04,-0.00246,0.03024
2028.78,-0.00633,-0.00347,3.02E-05,9.50E-04,-0.00241,0.03021
2030.709,-0.00642,-0.0035,2.30E-05,9.41E-04,-0.00245,0.03021
2032.637,-0.00614,-0.00347,7.76E-05,9.02E-04,-0.00243,0.03021
2034.566,-0.00595,-0.00339,1.48E-04,8.98E-04,-0.0024,0.03027
2036.494,-0.00576,-0.00333,1.10E-04,9.19E-04,-0.00244,0.03024
2038.423,-0.00561,-0.00324,1.49E-04,1.00E-03,-0.0023,0.03033
2040.351,-0.00499,-0.00315,2.19E-04,0.00104,-0.00228,0.03033
2042.28,-0.0047,-0.00307,3.07E-04,0.00112,-0.00225,0.03037
2044.208,-0.00469,-0.00299,3.41E-04,0.00114,-0.00224,0.03038
2046.137,-0.00483,-0.00292,3.13E-04,0.00112,-0.00229,0.0303
2048.065,-0.00461,-0.00288,3.63E-04,0.00118,-0.00221,0.03032
2049.994,-0.00431,-0.00276,4.95E-04,0.0013,-0.00212,0.03042
2051.922,-0.00428,-0.00264,6.51E-04,0.00143,-0.00198,0.03054
2053.851,-0.00407,-0.00249,7.53E-04,0.00148,-0.00198,0.03045
2055.779,-0.0036,-0.00237,8.25E-04,0.0015,-0.00198,0.03037
2057.708,-0.00303,-0.0022,9.22E-04,0.0016,-0.00183,0.03048
2059.636,-0.0031,-0.00206,9.11E-04,0.00158,-0.00199,0.03027
