comments: Potential of mean force (PMF) of single Pt atom transport on the TiO2 rutile (110) surface at three different temperatures computed by the steered molecular dynamics (SMD) method with pulling speed of 0.02 Å/ns,,,
DataType: Diffusion__Pulling__SMD__PMF,,,
Chart_label: CO2 Adsorption,,,
x_label: Pulling Distance (Angstrom),,,
y_label: PMF (kcal/mol),,,
series_names: 400 K, 600 K, 800 K,,,
custom_variables:,,,
x_values,y400,y600,y800
0.039599,0.020679,0.015874,0.021407
0.079598,0.079076,0.069922,0.069116
0.119597,0.172559,0.154106,0.150544
0.159596,0.295192,0.267518,0.260569
0.199595,0.439038,0.401728,0.391495
0.239594,0.610742,0.570585,0.551717
0.279593,0.812657,0.757267,0.741953
0.319592,1.028286,0.974287,0.949068
0.359592,1.267967,1.209195,1.186867
0.399591,1.529869,1.468232,1.447632
0.43959,1.814489,1.752391,1.733981
0.479589,2.122053,2.073865,2.063845
0.519588,2.462774,2.421636,2.419554
0.559587,2.834929,2.802214,2.802661
0.599586,3.243403,3.22286,3.22175
0.639585,3.698492,3.683657,3.679956
0.679584,4.190494,4.186005,4.187488
0.719583,4.733501,4.735349,4.722264
0.759582,5.326048,5.323691,5.262164
0.799581,5.965179,5.955508,5.823174
0.83958,6.654707,6.617381,6.401925
0.879579,7.388705,7.277456,6.971856
0.919578,8.163689,7.921826,7.378456
0.959577,8.969605,8.503945,7.536263
0.999576,9.761974,8.945614,7.408183
1.039576,10.421173,9.038394,6.860798
1.079575,10.812497,8.657835,6.155314
1.119574,10.726933,7.972203,5.468438
1.159573,10.092587,7.3116,4.927823
1.199572,9.317463,6.841597,4.510192
1.239571,8.783719,6.43951,4.13796
1.27957,8.431071,6.112175,3.829082
1.319569,8.158251,5.841736,3.579697
1.359568,7.946427,5.649566,3.387897
1.399567,7.815146,5.50792,3.266445
1.439566,7.748917,5.452768,3.214641
1.479565,7.757063,5.463057,3.220936
1.519564,7.838488,5.538706,3.29918
1.559563,7.995483,5.689755,3.439296
1.599562,8.219308,5.904592,3.641547
1.639561,8.513937,6.182599,3.900486
1.67956,8.87401,6.5379,4.22811
