comments: Differential Thermal Analysis (DTA) of aqueous urea ammonium nitrate data published in https://dx.doi.org/10.1016/j.fuel.2015.06.099,
DataType: Differential_Thermal_Analysis,
Chart_label: DTA signals of aqueous urea ammonium nitrate vs. temperature for different pressures,
x_label: Temperature (C),
y_label: DTA (C),
series_names: 161.5 bar,
custom_variables:,
x_values,161.5
200,86
200.1,86
200.1,87
200.2,87
200.3,86
200.4,87
200.4,87
200.5,87
200.6,86
200.7,87
200.8,86
200.8,87
200.9,87
201.1,86
201.1,87
201.2,86
201.3,86
201.4,86
201.4,87
201.5,87
201.6,86
201.7,87
201.8,86
201.8,87
201.9,87
202,87
202.1,86
202.2,86
202.2,87
202.4,86
202.4,87
202.5,86
202.6,86
202.7,87
202.8,86
202.9,86
202.9,86
203,87
203.1,86
203.2,86
203.2,87
203.4,86
203.4,87
203.5,86
203.6,86
203.7,86
203.8,86
203.8,87
203.9,86
204,86
204.1,86
204.1,87
204.2,86
204.4,86
204.4,86
204.5,86
204.5,87
204.7,86
204.7,87
204.8,86
204.9,86
205,86
205.1,86
205.1,87
205.2,86
205.3,87
205.4,86
205.5,86
205.5,86
205.7,86
205.8,86
205.8,86
205.9,86
205.9,87
206.1,86
206.2,86
206.2,86
206.3,86
206.4,86
206.5,86
206.5,86
206.6,87
206.7,86
206.8,86
206.9,86
206.9,87
207,87
207.1,86
207.2,86
207.2,87
207.4,86
207.4,87
207.5,86
207.6,87
207.7,86
207.8,86
207.8,86
207.9,87
208,86
208.1,86
208.2,86
208.3,86
208.4,86
208.5,86
208.5,86
208.6,86
208.7,86
208.8,86
208.8,86
209,86
209.1,86
209.1,86
209.2,86
209.3,86
209.4,86
209.4,86
209.5,86
209.6,86
209.7,86
209.8,86
209.9,86
210,86
210.1,86
210.1,86
210.2,86
210.3,86
210.4,86
210.4,86
210.5,86
210.6,86
210.7,86
210.8,86
210.8,86
211,86
211,86
211.1,86
211.2,86
211.3,86
211.4,86
211.4,86
211.5,86
211.6,86
211.7,86
211.8,86
211.8,86
212,86
212,86
212.1,86
212.2,86
212.3,86
212.4,86
212.4,86
212.5,86
212.6,86
212.7,86
212.8,86
212.8,86
212.9,86
213,86
213.1,86
213.2,86
213.2,86
213.4,86
213.4,86
213.5,86
213.5,86
213.7,86
213.7,86
213.8,86
213.9,86
214,86
214.1,86
214.1,86
214.2,86
214.3,86
214.4,86
214.5,86
214.5,86
214.7,86
214.7,86
214.8,86
214.9,86
215,86
215.1,86
215.1,86
215.2,86
215.3,86
215.4,86
215.5,86
215.6,86
215.7,86
215.8,86
215.8,86
215.9,86
216,86
216.1,86
216.2,86
216.2,86
216.4,86
216.4,86
216.5,86
216.6,86
216.7,86
216.8,86
216.8,86
216.9,86
217,86
217.1,86
217.2,86
217.2,86
217.4,86
217.4,86
217.5,86
217.6,86
217.7,86
217.8,86
217.8,86
217.9,86
218,86
218.1,86
218.2,86
218.2,86
218.4,86
218.4,86
218.5,86
218.5,86
218.7,86
218.8,86
218.8,86
218.9,86
219,86
219.1,86
219.2,86
219.2,86
219.4,86
219.4,86
219.5,86
219.6,86
219.6,86
219.8,86
219.8,86
219.9,86
219.9,86
220.1,86
220.1,86
220.2,86
220.3,86
220.4,86
220.5,86
220.5,86
220.6,86
220.8,86
220.8,86
220.9,86
221,86
221.1,86
221.2,86
221.2,86
221.3,86
221.4,86
221.5,86
221.6,86
221.6,86
221.8,86
221.8,86
221.9,86
222,86
222.1,86
222.1,86
222.2,86
222.3,86
222.4,86
222.5,86
222.5,86
222.6,86
222.7,86
222.8,86
222.9,86
223,86
223.1,86
223.1,86
223.2,86
223.3,86
223.4,86
223.5,86
223.6,86
223.6,86
